Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-COPA_AMERICA-2019-8116866,Semifinals,2019-06-20,Uruguay,1,Japón,2,2,,,29,10,10,9,2,,,,,,,,,,4,7,1,11,56,,,57,73.9,346,468,,,33,,,,20,,,,28.6,10,35,,14,,,30,19,11,,13,2,,0,1,,,,,,,,0,,14,,,,,12,3,7,2,0,,,,,,,,,,2,3,1,7,44,,,43,72.3,250,346,,,20,,,,12,,,,23.1,3,13,,10,,,11,6,5,,38,2,,0,8,,,,,,,,2,,20,,,7.08,6.86,Copa América,CONMEBOL,AFC
SEL-COPA_AMERICA-2019-8116871,Semifinals,2019-06-21,Ecuador,1,Chile,1,2,,,7,2,4,1,0,,,,,,,,,,1,3,0,8,44,,,53,76.3,290,380,,,25,,,,22,,,,22.2,4,18,,8,,,9,6,3,,13,2,,0,1,,,,,,,,5,1.0,22,,,,,10,3,3,4,0,,,,,,,,,,0,5,1,8,46,,,47,73.4,243,331,,,21,,,,20,,,,30.8,4,13,,8,,,20,12,8,,23,1,,0,1,,,,,,,,4,0.0,22,,,6.51,6.85,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116860,Quarterfinals,2019-06-22,Bolivia,1,Venezuela,1,3,,,10,4,5,1,2,,,,,,,,,,0,2,0,6,44,,,55,85.4,452,529,,,26,,,,9,,,,,0,12,,8,,,12,5,7,,20,3,,0,2,,,,,,,,2,,11,,,,,15,5,8,2,1,,,,,,,,,,4,5,3,17,48,,,45,82.4,351,426,,,39,,,,11,,,,35.0,7,20,,10,,,12,6,6,,19,1,,0,3,,,,,,,,0,,12,,,6.4,7.13,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116858,Quarterfinals,2019-06-22,Perú,1,Brasil,0,5,,,8,2,3,3,0,,,,,,,,,,0,4,0,4,31,,,31,80.2,223,278,,,22,,,,16,,,,12.5,1,8,,15,,,21,14,7,,23,5,,0,4,,,,,,,,2,,21,,,,,19,9,6,4,2,,,,,,,,,,6,7,4,22,48,,,69,91.1,556,610,,,35,,,,21,,,,40.0,6,15,,5,,,17,15,2,,7,0,,1,2,,,,,,,,2,,16,,,5.98,7.67,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116868,Quarterfinals,2019-06-23,Colombia,1,Paraguay,1,0,,,12,5,4,3,0,,,,,,,,,,1,3,2,14,53,,,46,76.1,274,360,,,19,,,,20,,,,27.3,3,11,,10,,,11,7,4,,18,0,,1,2,,,,,,,,2,,14,,,,,10,2,7,1,0,,,,,,,,,,1,2,2,7,45,,,54,78.6,320,407,,,19,,,,12,,,,40.0,4,10,,12,,,15,10,5,,12,1,,0,4,,,,,,,,1,,20,,,7.07,6.61,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116864,Quarterfinals,2019-06-23,Catar,1,Argentina,0,2,,,4,1,2,1,1,,,,,,,,,,0,1,4,11,42,,,46,82.5,359,435,,,21,,,,15,,,,,0,4,,17,,,25,13,12,,13,2,,0,5,,,,,,,,3,,16,,,,,19,8,7,4,0,,,,,,,,,,2,5,0,13,40,,,54,86.1,426,495,,,25,,,,15,,,,45.5,5,11,,13,,,13,10,3,,9,0,,1,1,,,,,,,,2,,17,,,6.75,7.07,Copa América,AFC,CONMEBOL
SEL-COPA_AMERICA-2019-8116867,Quarterfinals,2019-06-24,Chile,1,Uruguay,0,1,,,12,3,7,2,0,,,,,,,,,,1,5,3,7,58,,,58,80.2,353,440,,,31,,,,17,,,,36.4,4,11,,13,,,14,7,7,,21,1,,0,2,,,,,,,,0,,18,,,,,8,3,4,1,0,,,,,,,,,,1,5,2,9,59,,,42,68.2,210,308,,,25,,,,15,,,,25.0,4,16,,6,,,18,10,8,,19,0,,1,2,,,,,,,,1,,18,,,6.78,7.14,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116870,Quarterfinals,2019-06-24,Ecuador,1,Japón,1,1,,,16,3,12,1,0,,,,,,,,,,3,4,3,10,62,,,49,82.9,392,473,,,44,,,,14,,,,50.0,9,18,,9,,,16,9,7,,14,1,,0,6,,,,,,,,3,,14,,,,,16,7,6,3,0,,,,,,,,,,4,3,1,9,51,,,51,81.3,404,497,,,22,,,,14,,,,,0,10,,8,,,11,9,2,,18,1,,0,2,,,,,,,,1,,16,,,7.05,6.79,Copa América,CONMEBOL,AFC
SEL-COPA_AMERICA-2019-8116860,Quarterfinals,2019-06-22,Bolivia,1,Venezuela,1,3,,,10,4,5,1,2,,,,,,,,,,0,2,0,6,44,,,55,85.4,452,529,,,26,,,,9,,,,,0,12,,8,,,12,5,7,,20,3,,0,2,,,,,,,,2,,11,,,,,15,5,8,2,1,,,,,,,,,,4,5,3,17,48,,,45,82.4,351,426,,,39,,,,11,,,,35.0,7,20,,10,,,12,6,6,,19,1,,0,3,,,,,,,,0,,12,,,6.4,7.13,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116858,Quarterfinals,2019-06-22,Perú,1,Brasil,0,5,,,8,2,3,3,0,,,,,,,,,,0,4,0,4,31,,,31,80.2,223,278,,,22,,,,16,,,,12.5,1,8,,15,,,21,14,7,,23,5,,0,4,,,,,,,,2,,21,,,,,19,9,6,4,2,,,,,,,,,,6,7,4,22,48,,,69,91.1,556,610,,,35,,,,21,,,,40.0,6,15,,5,,,17,15,2,,7,0,,1,2,,,,,,,,2,,16,,,5.98,7.67,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116868,Quarterfinals,2019-06-23,Colombia,1,Paraguay,1,0,,,12,5,4,3,0,,,,,,,,,,1,3,2,14,53,,,46,76.1,274,360,,,19,,,,20,,,,27.3,3,11,,10,,,11,7,4,,18,0,,1,2,,,,,,,,2,,14,,,,,10,2,7,1,0,,,,,,,,,,1,2,2,7,45,,,54,78.6,320,407,,,19,,,,12,,,,40.0,4,10,,12,,,15,10,5,,12,1,,0,4,,,,,,,,1,,20,,,7.07,6.61,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116864,Quarterfinals,2019-06-23,Catar,1,Argentina,0,2,,,4,1,2,1,1,,,,,,,,,,0,1,4,11,42,,,46,82.5,359,435,,,21,,,,15,,,,,0,4,,17,,,25,13,12,,13,2,,0,5,,,,,,,,3,,16,,,,,19,8,7,4,0,,,,,,,,,,2,5,0,13,40,,,54,86.1,426,495,,,25,,,,15,,,,45.5,5,11,,13,,,13,10,3,,9,0,,1,1,,,,,,,,2,,17,,,6.75,7.07,Copa América,AFC,CONMEBOL
SEL-COPA_AMERICA-2019-8116867,Quarterfinals,2019-06-24,Chile,1,Uruguay,0,1,,,12,3,7,2,0,,,,,,,,,,1,5,3,7,58,,,58,80.2,353,440,,,31,,,,17,,,,36.4,4,11,,13,,,14,7,7,,21,1,,0,2,,,,,,,,0,,18,,,,,8,3,4,1,0,,,,,,,,,,1,5,2,9,59,,,42,68.2,210,308,,,25,,,,15,,,,25.0,4,16,,6,,,18,10,8,,19,0,,1,2,,,,,,,,1,,18,,,6.78,7.14,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116870,Quarterfinals,2019-06-24,Ecuador,1,Japón,1,1,,,16,3,12,1,0,,,,,,,,,,3,4,3,10,62,,,49,82.9,392,473,,,44,,,,14,,,,50.0,9,18,,9,,,16,9,7,,14,1,,0,6,,,,,,,,3,,14,,,,,16,7,6,3,0,,,,,,,,,,4,3,1,9,51,,,51,81.3,404,497,,,22,,,,14,,,,,0,10,,8,,,11,9,2,,18,1,,0,2,,,,,,,,1,,16,,,7.05,6.79,Copa América,CONMEBOL,AFC
SEL-COPA_AMERICA-2019-8116855,Semifinals,2019-06-18,Bolivia,1,Perú,1,3,,,7,2,3,2,0,,,,,,,,,,2,2,2,6,38,,,40,73.4,229,312,,,22,,,,13,,,,,0,5,,12,,,20,15,5,,16,3,,0,7,,,,,,,,3,,8,,,,,18,10,5,3,0,,,,,,,,,,4,5,1,17,59,,,60,83.9,376,448,,,23,,,,7,,,,36.8,7,19,,8,,,11,6,5,,12,1,,0,1,,,,,,,,2,,15,,,6.53,7.14,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116857,Semifinals,2019-06-18,Brasil,1,Venezuela,0,0,,,19,1,11,7,0,,,,,,,,,,1,9,2,9,103,,,68,90.3,617,683,,,18,,,,18,,,,31.2,10,32,,8,,,15,10,5,,11,0,,1,1,,,,,,,,1,,12,,,,,6,1,4,1,0,,,,,,,,,,0,2,0,11,35,,,32,73.7,233,316,,,29,,,,12,,,,25.0,2,8,,10,,,16,12,4,,34,0,,1,1,,,,,,,,2,,18,,,7.05,6.91,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116862,Semifinals,2019-06-19,Colombia,1,Catar,1,0,,,20,5,10,5,1,,,,,,,,,,6,13,1,13,76,,,68,84.6,477,564,,,49,,,,7,,,,27.0,10,37,,4,,,7,5,2,,6,0,,1,2,,,,,,,,1,,9,,,,,7,2,4,1,0,,,,,,,,,,0,1,1,9,24,,,32,72.3,198,274,,,19,,,,8,,,,50.0,2,4,,18,,,11,4,7,,30,1,,0,4,,,,,,,,4,,7,,,7.31,6.85,Copa América,CONMEBOL,AFC
SEL-COPA_AMERICA-2019-8116863,Semifinals,2019-06-19,Argentina,1,Paraguay,1,1,,,7,2,3,2,0,,,,,,,,,,2,2,1,15,49,,,55,81.6,386,473,,,21,,,,17,,,,10.0,1,10,,5,,,13,7,6,,11,1,,0,2,,,,,,,,3,,20,,,,,10,3,6,1,0,,,,,,,,,,2,3,2,8,40,,,45,78.3,300,383,,,18,,,,19,,,,22.2,2,9,,18,,,17,9,8,,16,1,,0,1,,,,,,,,3,,19,,,6.75,6.66,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116866,Semifinals,2019-06-20,Uruguay,1,Japón,2,2,,,29,10,10,9,2,,,,,,,,,,4,7,1,11,56,,,57,73.9,346,468,,,33,,,,20,,,,28.6,10,35,,14,,,30,19,11,,13,2,,0,1,,,,,,,,0,,14,,,,,12,3,7,2,0,,,,,,,,,,2,3,1,7,44,,,43,72.3,250,346,,,20,,,,12,,,,23.1,3,13,,10,,,11,6,5,,38,2,,0,8,,,,,,,,2,,20,,,7.08,6.86,Copa América,CONMEBOL,AFC
SEL-COPA_AMERICA-2019-8116871,Semifinals,2019-06-21,Ecuador,1,Chile,1,2,,,7,2,4,1,0,,,,,,,,,,1,3,0,8,44,,,53,76.3,290,380,,,25,,,,22,,,,22.2,4,18,,8,,,9,6,3,,13,2,,0,1,,,,,,,,5,1.0,22,,,,,10,3,3,4,0,,,,,,,,,,0,5,1,8,46,,,47,73.4,243,331,,,21,,,,20,,,,30.8,4,13,,8,,,20,12,8,,23,1,,0,1,,,,,,,,4,0.0,22,,,6.51,6.85,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116854,Final,2019-06-14,Brasil,1,Bolivia,3,0,,,20,5,7,8,0,,,,,,,,,,4,8,1,17,75,,,74,88.7,555,626,,,22,,,,8,,,,44.0,11,25,,12,,,18,13,5,,4,0,,1,1,,,,,,,,1,,14,,,,,5,1,3,1,0,,,,,,,,,,0,0,0,11,29,,,26,66.4,146,220,,,19,,,,13,,,,16.7,1,6,,11,,,22,13,9,,24,3,,0,2,,,,,,,,1,,10,,,7.3,6.37,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116856,Final,2019-06-15,Venezuela,1,Perú,0,0,,,11,5,3,3,0,,,,,,,,,,1,4,4,4,46,,,49,83.9,303,361,,,31,,,,11,,,,25.0,3,12,,2,,,7,5,2,,22,0,,1,4,,,,,,,,3,1.0,13,,,,,17,5,8,4,0,,,,,,,,,,2,7,3,10,43,,,51,83.6,300,359,,,15,,,,13,,,,22.2,4,18,,10,,,11,8,3,,21,0,,1,5,,,,,,,,2,0.0,13,,,6.98,7.16,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116859,Final,2019-06-15,Argentina,1,Colombia,0,2,,,13,6,6,1,0,,,,,,,,,,1,5,1,9,42,,,53,83.6,392,469,,,14,,,,17,,,,,0,12,,13,,,17,12,5,,22,2,,0,0,,,,,,,,3,,13,,,,,8,2,3,3,0,,,,,,,,,,1,4,0,19,36,,,47,82.1,330,402,,,25,,,,12,,,,19.0,4,21,,9,,,18,8,10,,20,0,,1,6,,,,,,,,4,,17,,,6.54,7.14,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116861,Final,2019-06-16,Paraguay,1,Catar,2,2,,,13,5,4,4,0,,,,,,,,,,1,2,3,6,41,,,43,76.2,250,328,,,18,,,,10,,,,30.8,4,13,,3,,,15,10,5,,17,2,,0,2,,,,,,,,2,,11,,,,,8,4,4,0,1,,,,,,,,,,4,4,1,10,51,,,57,78.3,342,437,,,37,,,,11,,,,12.5,1,8,,8,,,11,8,3,,11,2,,0,3,,,,,,,,4,,15,,,6.6,6.66,Copa América,CONMEBOL,AFC
SEL-COPA_AMERICA-2019-8116865,Final,2019-06-16,Uruguay,1,Ecuador,4,0,,,16,7,5,4,1,,,,,,,,,,4,9,4,7,59,,,61,83.1,427,514,,,32,,,,12,,,,34.8,8,23,,5,,,9,5,4,,5,0,,1,1,,,,,,,,2,0.0,12,,,,,2,1,1,0,0,,,,,,,,,,1,1,0,4,42,,,39,75.7,258,341,,,26,,,,12,,,,,0,4,,14,,,10,8,2,,20,4,,0,4,,,,,,,,0,1.0,12,,,7.24,6.05,Copa América,CONMEBOL,CONMEBOL
SEL-COPA_AMERICA-2019-8116869,Final,2019-06-17,Japón,1,Chile,0,4,,,13,3,6,4,0,,,,,,,,,,4,8,0,11,54,,,44,76.8,292,380,,,13,,,,13,,,,27.8,5,18,,12,,,10,8,2,,17,4,,0,3,,,,,,,,2,,16,,,,,15,7,6,2,0,,,,,,,,,,3,7,1,7,70,,,56,81.9,402,491,,,52,,,,13,,,,35.3,6,17,,15,,,25,17,8,,16,0,,1,3,,,,,,,,1,,15,,,6.22,7.8,Copa América,AFC,CONMEBOL
