Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Formacion_E1,Formacion_E2,Formacion_Def_E1,Formacion_Def_E2,GK_Rating_E1,GK_Rating_E2,GK_Saves_E1,GK_Saves_E2,GK_GoalsPrevented_E1,GK_GoalsPrevented_E2,Def_Avg_Rating_E1,Def_Avg_Rating_E2,Def_Avg_Tackles_E1,Def_Avg_Tackles_E2,Def_Avg_Clearances_E1,Def_Avg_Clearances_E2,Mid_Avg_Rating_E1,Mid_Avg_Rating_E2,Mid_Avg_KeyPasses_E1,Mid_Avg_KeyPasses_E2,Mid_Avg_Recovery_E1,Mid_Avg_Recovery_E2,Fwd_Avg_Rating_E1,Fwd_Avg_Rating_E2,Fwd_Avg_Shots_E1,Fwd_Avg_Shots_E2,Fwd_Avg_Goals_E1,Fwd_Avg_Goals_E2,Top1_Rating_E1,Top1_Rating_E2,Top2_Rating_E1,Top2_Rating_E2,Top3_Rating_E1,Top3_Rating_E2,Rating_Std_E1,Rating_Std_E2
PL-2024-25-12436870,Jornada 1,2024-08-16,Man United,1,Fulham,1,0,1.0,0.0,14,5,7,2,0,,,1.0,6.0,,,,,,4.0,7,3.0,8,46,,22,55,84.6,408,482,,,23,,,,10,,,,16.7,3,18,,19,,,21,14,7,,20,0,0.0,1,2.0,,,,,2.0,,0.0,2.0,,12,,,0.0,0.0,10,2,4,4,0,,,1.0,3.0,,,,,,0.0,8,1.0,8,40,,22,45,79.7,306,384,,,17,,,,11,,,,28.6,6,21,,9,,,24,17,7,,19,1,0.0,0,4.0,,,,,0.0,,1.0,3.0,,10,,,7.24,6.9,4-2-3-1,4-2-3-1,4.0,4.0,7.3,6.8,2.0,4.0,0.917,1.067,7.35,7.0,1.75,3.5,3.0,3.75,7.567,6.875,1.0,1.5,6.333,6.25,6.733,6.8,0.333,2.5,0.0,0.0,8.4,7.3,7.6,7.3,7.5,7.2,0.512,0.28
PL-2024-25-12436871,Jornada 1,2024-08-17,Ipswich,1,Liverpool,0,2,0.0,0.0,7,2,2,3,0,,,1.0,1.0,,,,,,0.0,2,5.0,3,41,,17,38,78.4,272,347,,,19,,,,18,,,,25.0,2,8,,9,,,20,10,10,,28,2,0.0,0,3.0,,,,,1.0,,,3.0,,9,,,2.0,0.0,18,5,6,7,0,,,0.0,6.0,,,,,,6.0,10,0.0,11,47,,50,62,86.3,492,570,,,30,,,,9,,,,17.4,4,23,,5,,,9,4,5,,16,0,0.0,1,2.0,,,,,0.0,,,1.0,,18,,,6.77,7.29,4-2-3-1,4-2-3-1,4.0,4.0,6.8,7.1,3.0,2.0,0.347,0.244,6.825,7.15,1.75,0.75,5.0,1.75,6.76,7.46,0.2,1.6,3.8,3.8,6.6,7.2,0.0,3.0,0.0,1.0,7.2,8.1,7.0,7.8,6.9,7.7,0.222,0.434
PL-2024-25-12436872,Jornada 1,2024-08-17,Arsenal,1,Wolves,2,0,2.0,0.0,18,6,6,6,0,,,2.0,4.0,,,,,,2.0,8,0.0,9,40,,50,53,85.0,357,420,,,17,,,,14,,,,20.0,3,15,,8,,,18,13,5,,15,0,0.0,1,3.0,,,,,1.0,,0.0,2.0,,17,,,0.0,0.0,9,3,5,1,0,,,0.0,3.0,,,,,,1.0,2,1.0,8,56,,18,47,81.9,307,375,,,20,,,,17,,,,28.6,4,14,,7,,,19,12,7,,14,2,0.0,0,4.0,,,,,1.0,,2.0,2.0,,14,,,7.46,6.67,4-3-3,4-2-3-1,4.0,4.0,7.6,7.1,3.0,4.0,0.193,-0.297,7.0,6.65,1.5,2.75,2.0,1.25,7.267,6.675,2.333,0.0,3.667,3.5,8.233,6.5,3.667,0.5,0.667,0.0,8.9,7.1,8.3,7.1,7.6,7.0,0.591,0.302
PL-2024-25-12436873,Jornada 1,2024-08-17,Everton,1,Brighton,0,3,0.0,0.0,9,1,4,4,0,,,0.0,3.0,,,,,,0.0,1,7.0,5,69,,18,38,77.3,266,344,,,45,,,,8,,,,23.5,4,17,,13,,,23,11,12,,11,3,0.0,0,2.0,,,,,1.0,,0.0,1.0,1.0,8,,,3.0,0.0,10,5,3,2,1,,,0.0,1.0,,,,,,2.0,5,1.0,6,36,,29,62,85.6,492,575,,,20,,,,8,,,,28.6,4,14,,8,,,21,13,8,,19,0,0.0,1,1.0,,,,,0.0,,2.0,1.0,0.0,8,,,6.56,7.24,4-2-3-1,4-2-3-1,4.0,4.0,7.0,7.2,2.0,1.0,-0.625,0.05,6.4,7.1,1.5,2.0,1.5,3.0,6.55,7.175,0.25,1.5,5.5,2.25,6.7,7.65,1.5,1.5,0.0,0.5,7.0,8.2,6.8,7.6,6.8,7.3,0.311,0.367
PL-2024-25-12436874,Jornada 1,2024-08-17,Newcastle,1,Southampton,1,0,1.0,0.0,3,1,0,2,0,,,0.0,0.0,,,,,,1.0,3,1.0,1,31,,14,22,64.6,117,181,,,12,,,,16,,,,8.3,1,12,,4,,,16,14,2,,34,0,0.0,1,3.0,,,,,0.0,,0.0,2.0,1.0,15,,,0.0,0.0,19,4,4,11,0,,,0.0,6.0,,,,,,3.0,12,2.0,6,67,,48,78,89.2,579,649,,,19,,,,15,,,,13.3,4,30,,3,,,13,6,7,,14,1,0.0,0,0.0,,,,,2.0,,1.0,4.0,0.0,16,,,6.97,6.91,4-3-3,3-5-2,4.0,3.0,7.3,6.2,3.0,0.0,0.422,-0.369,6.575,7.02,0.5,0.4,3.5,1.6,7.4,7.0,0.0,1.5,3.0,3.25,6.967,6.7,0.0,5.0,0.0,0.0,7.9,7.5,7.4,7.2,7.3,7.2,0.72,0.408
PL-2024-25-12436875,Jornada 1,2024-08-17,Nottm Forest,1,Bournemouth,1,1,1.0,0.0,14,8,3,3,0,,,2.0,4.0,,,,,,1.0,2,1.0,9,51,,29,53,79.9,402,503,,,22,,,,8,,,,23.1,3,13,,7,,,24,12,12,,25,1,0.0,0,3.0,,,,,,,1.0,1.0,,17,,,1.0,0.0,13,4,6,3,0,,,2.0,5.0,,,,,,3.0,6,4.0,5,63,,23,47,77.5,335,432,,,25,,,,17,,,,16.0,4,25,,14,,,18,7,11,,29,1,0.0,0,7.0,,,,,,,2.0,3.0,,8,,,7.04,7.02,4-2-3-1,4-2-3-1,4.0,4.0,7.3,8.1,3.0,7.0,0.188,0.851,7.05,6.825,3.0,0.75,4.25,4.0,6.9,7.12,1.5,1.0,4.75,4.2,7.15,6.2,1.0,2.0,0.5,0.0,7.3,8.1,7.3,7.4,7.2,7.4,0.274,0.517
PL-2024-25-12436877,Jornada 1,2024-08-17,West Ham,1,Aston Villa,1,2,1.0,0.0,14,3,7,4,0,,,0.0,3.0,,,,,,4.0,5,1.0,4,39,,26,52,84.4,352,417,,,27,,,,11,,,,20.0,5,25,,6,,,14,10,4,,22,2,0.0,0,1.0,,,,,1.0,,1.0,1.0,,18,,,2.0,0.0,15,3,6,6,1,,,1.0,4.0,,,,,,4.0,3,1.0,8,51,,23,48,83.5,329,394,,,19,,,,18,,,,20.0,3,15,,7,,,24,15,9,,20,1,0.0,0,3.0,,,,,1.0,,0.0,2.0,,11,,,6.76,7.08,4-1-4-1,4-2-3-1,4.0,4.0,6.8,7.3,1.0,3.0,-0.672,0.32,6.75,7.1,1.25,2.5,4.25,2.5,6.8,7.2,1.2,1.4,1.8,4.4,6.6,6.2,2.0,0.0,0.0,0.0,7.1,7.7,7.0,7.4,7.0,7.3,0.231,0.388
PL-2024-25-12436879,Jornada 1,2024-08-18,Brentford,1,Crystal Palace,2,1,2.0,0.0,9,5,3,1,0,,,0.0,1.0,,,,,,3.0,4,1.0,5,45,,13,46,77.2,311,403,,,35,,,,15,,,,23.5,4,17,,11,,,19,10,9,,21,1,0.0,0,6.0,,,,,1.0,,1.0,1.0,,6,,,0.0,0.0,14,6,4,4,0,,,3.0,5.0,,,,,,1.0,7,3.0,3,59,,21,54,80.9,389,481,,,16,,,,6,,,,7.1,1,14,,5,,,22,13,9,,29,2,0.0,0,3.0,,,,,0.0,,0.0,5.0,,15,,,7.19,6.75,4-3-3,3-4-2-1,4.0,3.0,8.4,6.6,6.0,3.0,0.015,1.114,6.725,6.6,1.75,2.0,3.25,6.0,6.925,6.917,0.75,1.0,4.0,4.5,8.05,6.3,1.5,0.0,1.0,0.0,8.4,7.2,8.1,7.2,8.0,7.0,0.678,0.309
PL-2024-25-12436880,Jornada 1,2024-08-18,Chelsea,1,Man City,0,2,0.0,0.0,10,3,3,4,0,,,2.0,2.0,,,,,,1.0,4,2.0,4,47,,26,48,89.0,436,490,,,17,,,,9,,,,33.3,6,18,,10,,,20,14,6,,13,2,0.0,0,3.0,,,,,1.0,,,1.0,,12,,,1.0,1.0,11,5,3,3,0,,,1.0,3.0,,,,,,1.0,3,1.0,15,37,,27,52,89.2,477,535,,,17,,,,12,,,,9.1,1,11,,10,,,16,9,7,,17,0,0.0,1,3.0,,,,,0.0,,,1.0,,9,,,6.82,7.36,4-2-3-1,3-2-4-1,4.0,3.0,6.9,7.3,3.0,3.0,-1.178,0.701,6.625,7.15,2.0,1.5,2.75,2.75,7.05,7.54,1.0,1.6,5.0,4.4,6.7,7.4,1.0,2.0,0.0,1.0,7.3,7.9,7.2,7.6,7.0,7.5,0.324,0.305
PL-2024-25-12436881,Jornada 1,2024-08-19,Leicester,1,Tottenham,1,1,1.0,0.0,7,3,3,1,0,,,0.0,1.0,,,,,,2.0,2,2.0,7,34,,11,30,76.7,211,275,,,9,,,,12,,,,53.3,8,15,,10,,,22,15,7,,38,1,0.0,0,5.0,,,,,0.0,,,1.0,,11,,,1.0,0.0,15,7,3,5,0,,,0.0,3.0,,,,,,2.0,13,1.0,13,70,,62,70,89.6,601,671,,,13,,,,11,,,,28.6,8,28,,6,,,23,13,10,,16,1,0.0,0,2.0,,,,,1.0,,,1.0,,12,,,7.05,7.27,4-2-3-1,4-3-3,4.0,4.0,7.6,7.2,5.0,2.0,0.923,0.322,6.875,7.225,1.0,1.25,6.0,2.25,7.06,7.233,0.8,1.333,4.6,2.667,7.1,7.4,2.0,2.0,1.0,0.0,7.8,7.8,7.6,7.8,7.5,7.5,0.474,0.316
PL-2024-25-12436888,Jornada 2,2024-08-24,Brighton,1,Man United,2,1,2.0,0.0,14,5,6,3,1,,,0.0,4.0,,,,,,2.0,4,0.0,10,52,,33,48,85.3,407,477,,,30,,,,13,,,,50.0,6,12,,7,,,17,12,5,,10,1,0.0,0,2.0,,,,,2.0,,0.0,1.0,,9,,,1.0,0.0,11,4,5,2,0,,,1.0,2.0,,,,,,2.0,4,6.0,10,44,,28,52,87.3,446,511,,,24,,,,8,,,,25.0,3,12,,12,,,19,11,8,,10,2,0.0,0,2.0,,,,,0.0,,1.0,2.0,,13,,,7.14,6.97,4-2-3-1,4-2-3-1,4.0,4.0,7.1,7.2,2.0,2.0,-0.573,0.529,7.033,7.05,2.333,1.5,2.0,1.5,7.02,7.1,1.0,1.0,2.6,4.333,7.6,6.667,3.0,1.0,1.0,0.333,8.0,7.7,7.3,7.3,7.2,7.2,0.299,0.336
PL-2024-25-12436892,Jornada 2,2024-08-24,Crystal Palace,1,West Ham,0,2,0.0,0.0,14,2,8,4,2,,,1.0,5.0,,,,,,2.0,3,3.0,3,77,,23,58,82.2,454,552,,,30,,,,16,,,,20.0,4,20,,9,,,23,11,12,,9,2,0.0,0,1.0,,,,,0.0,,,1.0,,9,,,2.0,0.0,18,3,10,5,0,,,0.0,5.0,,,,,,1.0,3,2.0,14,57,,21,42,76.8,302,393,,,31,,,,9,,,,28.6,4,14,,15,,,20,12,8,,25,0,0.0,1,2.0,,,,,1.0,,,1.0,,17,,,6.75,7.21,3-4-2-1,4-1-4-1,3.0,4.0,6.0,7.2,1.0,2.0,-1.091,0.257,6.633,7.4,2.333,1.5,1.333,3.75,7.02,7.24,1.6,1.2,5.8,6.8,6.65,6.3,2.5,2.0,0.0,0.0,7.3,8.0,7.2,7.6,7.0,7.6,0.373,0.464
PL-2024-25-12436894,Jornada 2,2024-08-24,Fulham,1,Leicester,2,1,2.0,0.0,18,6,7,5,0,,,0.0,5.0,,,,,,3.0,7,0.0,4,66,,31,54,85.3,459,538,,,25,,,,12,,,,33.3,7,21,,8,,,14,10,4,,7,1,0.0,0,3.0,,,,,1.0,,1.0,2.0,,14,,,1.0,0.0,10,4,4,2,0,,,2.0,2.0,,,,,,1.0,5,5.0,7,37,,10,46,83.9,381,454,,,17,,,,14,,,,41.7,5,12,,7,,,21,14,7,,30,2,0.0,0,4.0,,,,,2.0,,0.0,2.0,,13,,,7.24,6.95,4-2-3-1,4-2-3-1,4.0,4.0,7.1,7.5,3.0,4.0,0.722,-0.116,6.825,7.025,2.25,2.0,1.0,6.25,7.425,6.88,2.25,1.0,4.25,3.8,7.75,6.4,5.0,0.0,0.0,0.0,8.4,7.9,7.9,7.5,7.6,7.3,0.573,0.448
PL-2024-25-12436898,Jornada 2,2024-08-24,Man City,1,Ipswich,4,1,2.0,2.0,14,5,6,3,2,,,0.0,3.0,,,,,,5.0,10,3.0,11,72,,49,75,92.7,700,755,,,22,,,,15,,,,29.4,5,17,,6,,,14,6,8,,8,1,0.0,0,0.0,,,,,,,,2.0,,4,,,0.0,1.0,1,1,0,0,0,,,0.0,0.0,,,,,,1.0,1,1.0,2,21,,6,25,81.6,200,245,,,10,,,,3,,,,16.7,1,6,,10,,,17,8,9,,40,4,0.0,0,1.0,,,,,,,,3.0,,15,,,7.65,6.13,3-2-4-1,5-4-1,3.0,5.0,6.4,4.5,0.0,1.0,-0.707,-0.534,7.45,6.18,1.25,1.0,1.0,4.4,7.76,6.475,2.0,0.0,1.6,3.75,9.2,6.1,7.0,0.0,3.0,0.0,9.6,6.9,9.2,6.9,8.2,6.4,0.947,0.603
